t_s,v_kmh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.8
5,3.6
6,8.6
7,14.6
8,20.0
9,24.4
10,28.2
11,31.7
12,35.0
13,37.6
14,39.7
15,41.5
16,43.6
17,46.0
18,48.4
19,50.5
20,51.9
21,52.6
22,52.8
23,52.9
24,53.1
25,53.3
26,53.1
27,52.3
28,50.7
29,48.8
30,46.5
31,43.8
32,40.3
33,36.0
34,30.7
35,25.4
36,21.0
37,16.7
38,13.4
39,12.0
40,12.1
41,12.8
42,15.6
43,19.9
44,23.4
45,24.6
46,25.2
47,26.4
48,28.8
49,31.8
50,35.3
51,39.5
52,44.5
53,49.3
54,53.3
55,56.4
56,58.9
57,61.2
58,62.6
59,63.0
60,62.5
61,60.9
62,59.3
63,58.6
64,58.6
65,58.7
66,58.8
67,58.8
68,58.8
69,59.1
70,60.1
71,61.7
72,63.0
73,63.7
74,63.9
75,63.5
76,62.3
77,60.3
78,58.9
79,58.4
80,58.8
81,60.2
82,62.3
83,63.9
84,64.5
85,64.4
86,63.5
87,62.0
88,61.2
89,61.3
90,62.6
91,65.3
92,68.0
93,69.4
94,69.7
95,69.3
96,68.1
97,66.9
98,66.2
99,65.7
100,64.9
101,63.2
102,60.3
103,55.8
104,50.5
105,45.2
106,40.1
107,36.2
108,32.9
109,29.8
110,26.6
111,23.0
112,19.4
113,16.3
114,14.6
115,14.2
116,14.3
117,14.6
118,15.1
119,16.4
120,19.1
121,22.5
122,24.4
123,24.8
124,22.7
125,17.4
126,13.8
127,12.0
128,12.0
129,12.0
130,13.9
131,17.7
132,22.8
133,27.3
134,31.2
135,35.2
136,39.4
137,42.5
138,45.4
139,48.2
140,50.3
141,52.6
142,54.5
143,56.6
144,58.3
145,60.0
146,61.5
147,63.1
148,64.3
149,65.7
150,67.1
151,68.3
152,69.7
153,70.6
154,71.6
155,72.6
156,73.5
157,74.2
158,74.9
159,75.6
160,76.3
161,77.1
162,77.9
163,78.5
164,79.0
165,79.7
166,80.3
167,81.0
168,81.6
169,82.4
170,82.9
171,83.4
172,83.8
173,84.2
174,84.7
175,85.2
176,85.6
177,86.3
178,86.8
179,87.4
180,88.0
181,88.3
182,88.7
183,89.0
184,89.3
185,89.8
186,90.2
187,90.6
188,91.0
189,91.3
190,91.6
191,91.9
192,92.2
193,92.8
194,93.1
195,93.3
196,93.5
197,93.7
198,93.9
199,94.0
200,94.1
201,94.3
202,94.4
203,94.6
204,94.7
205,94.8
206,95.0
207,95.1
208,95.3
209,95.4
210,95.6
211,95.7
212,95.8
213,96.0
214,96.1
215,96.3
216,96.4
217,96.6
218,96.8
219,97.0
220,97.2
221,97.3
222,97.4
223,97.4
224,97.4
225,97.4
226,97.3
227,97.3
228,97.3
229,97.3
230,97.2
231,97.1
232,97.0
233,96.9
234,96.7
235,96.4
236,96.1
237,95.7
238,95.5
239,95.3
240,95.2
241,95.0
242,94.9
243,94.7
244,94.5
245,94.4
246,94.4
247,94.3
248,94.3
249,94.1
250,93.9
251,93.4
252,92.8
253,92.0
254,91.3
255,90.6
256,90.0
257,89.3
258,88.7
259,88.1
260,87.4
261,86.7
262,86.0
263,85.3
264,84.7
265,84.1
266,83.5
267,82.9
268,82.3
269,81.7
270,81.1
271,80.5
272,79.9
273,79.4
274,79.1
275,78.8
276,78.5
277,78.2
278,77.9
279,77.6
280,77.3
281,77.0
282,76.7
283,76.0
284,76.0
285,76.0
286,75.9
287,75.9
288,75.8
289,75.7
290,75.5
291,75.2
292,75.0
293,74.7
294,74.1
295,73.7
296,73.3
297,73.5
298,74.0
299,74.9
300,76.1
301,77.7
302,79.2
303,80.3
304,80.8
305,81.0
306,81.0
307,81.0
308,81.0
309,81.0
310,80.9
311,80.6
312,80.3
313,80.0
314,79.9
315,79.8
316,79.8
317,79.8
318,79.9
319,80.0
320,80.4
321,80.8
322,81.2
323,81.5
324,81.6
325,81.6
326,81.4
327,80.7
328,79.6
329,78.2
330,76.8
331,75.3
332,73.8
333,72.1
334,70.2
335,68.2
336,66.1
337,63.8
338,61.6
339,60.2
340,59.8
341,60.4
342,61.8
343,62.6
344,62.7
345,61.9
346,60.0
347,58.4
348,57.8
349,57.8
350,57.8
351,57.3
352,56.2
353,54.3
354,50.8
355,45.5
356,40.2
357,34.9
358,29.6
359,27.3
360,29.3
361,32.9
362,35.6
363,36.7
364,37.6
365,39.4
366,42.5
367,46.5
368,50.2
369,52.8
370,54.3
371,54.9
372,54.9
373,54.7
374,54.1
375,53.2
376,52.1
377,50.7
378,49.1
379,47.4
380,45.2
381,41.8
382,36.5
383,31.2
384,27.6
385,26.9
386,27.3
387,27.5
388,27.4
389,27.1
390,26.7
391,26.8
392,28.2
393,31.1
394,34.8
395,38.4
396,40.9
397,41.7
398,40.9
399,38.3
400,35.3
401,34.3
402,34.6
403,36.3
404,39.5
405,41.8
406,42.5
407,41.9
408,40.1
409,36.6
410,31.3
411,26.0
412,20.6
413,19.1
414,19.7
415,21.1
416,22.0
417,22.1
418,21.4
419,19.6
420,18.3
421,18.0
422,18.3
423,18.5
424,17.9
425,15.0
426,9.9
427,4.6
428,1.2
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
