t_s,v_kmh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,1.0
12,2.1
13,4.8
14,9.1
15,14.2
16,19.8
17,25.5
18,30.5
19,34.8
20,38.8
21,42.9
22,46.4
23,48.3
24,48.7
25,48.5
26,48.4
27,48.2
28,47.8
29,47.0
30,45.9
31,44.9
32,44.4
33,44.3
34,44.5
35,45.1
36,45.7
37,46.0
38,46.0
39,46.0
40,46.1
41,46.7
42,47.7
43,48.9
44,50.3
45,51.6
46,52.6
47,53.0
48,53.0
49,52.9
50,52.7
51,52.6
52,53.1
53,54.3
54,55.2
55,55.5
56,55.9
57,56.3
58,56.7
59,56.9
60,56.8
61,56.0
62,54.2
63,52.1
64,50.1
65,47.2
66,43.2
67,39.2
68,36.5
69,34.3
70,31.0
71,26.0
72,20.7
73,15.4
74,13.1
75,12.0
76,12.5
77,14.0
78,19.0
79,23.2
80,28.0
81,32.0
82,34.0
83,36.0
84,38.0
85,40.0
86,40.3
87,40.5
88,39.0
89,35.7
90,31.8
91,27.1
92,22.8
93,21.1
94,18.9
95,18.9
96,21.3
97,23.9
98,25.9
99,28.4
100,30.3
101,30.9
102,31.1
103,31.8
104,32.7
105,33.2
106,32.4
107,28.3
108,25.8
109,23.1
110,21.8
111,21.2
112,21.0
113,21.0
114,20.9
115,19.9
116,17.9
117,15.1
118,12.8
119,12.0
120,13.2
121,17.1
122,21.1
123,21.8
124,21.2
125,18.5
126,13.9
127,12.0
128,12.0
129,13.0
130,16.0
131,18.5
132,20.6
133,22.5
134,24.0
135,26.6
136,29.9
137,34.8
138,37.8
139,40.2
140,41.6
141,41.9
142,42.0
143,42.2
144,42.4
145,42.7
146,43.1
147,43.7
148,44.0
149,44.1
150,45.3
151,46.4
152,47.2
153,47.3
154,47.4
155,47.4
156,47.5
157,47.9
158,48.6
159,49.4
160,49.8
161,49.8
162,49.7
163,49.3
164,48.5
165,47.6
166,46.3
167,43.7
168,39.3
169,34.1
170,29.0
171,23.7
172,18.4
173,14.3
174,12.0
175,12.8
176,16.0
177,19.1
178,22.4
179,25.6
180,30.1
181,35.3
182,39.9
183,44.5
184,47.5
185,50.9
186,54.1
187,56.3
188,58.1
189,59.8
190,61.1
191,62.1
192,62.8
193,63.3
194,63.6
195,64.0
196,64.7
197,65.2
198,65.3
199,65.3
200,65.4
201,65.7
202,66.0
203,65.6
204,63.5
205,59.7
206,54.6
207,49.3
208,44.9
209,42.3
210,41.4
211,41.3
212,42.1
213,44.7
214,48.4
215,51.4
216,52.7
217,53.0
218,52.5
219,51.3
220,49.7
221,47.4
222,43.7
223,39.7
224,35.5
225,31.1
226,26.3
227,21.9
228,18.0
229,17.0
230,18.0
231,21.4
232,24.8
233,27.9
234,30.8
235,33.0
236,35.1
237,37.1
238,38.9
239,41.4
240,44.0
241,46.3
242,47.7
243,48.2
244,48.7
245,49.3
246,49.8
247,50.2
248,50.9
249,51.8
250,52.5
251,53.3
252,54.5
253,55.7
254,56.5
255,56.8
256,57.0
257,57.2
258,57.7
259,58.7
260,60.1
261,61.1
262,61.7
263,62.3
264,62.9
265,63.3
266,63.4
267,63.5
268,64.5
269,65.8
270,66.8
271,67.4
272,68.8
273,71.1
274,72.3
275,72.8
276,73.4
277,74.6
278,76.0
279,76.6
280,76.5
281,76.2
282,75.8
283,75.4
284,74.8
285,73.9
286,72.7
287,71.3
288,70.4
289,70.0
290,70.0
291,69.0
292,68.0
293,68.0
294,68.0
295,68.1
296,68.4
297,68.6
298,68.7
299,68.5
300,68.1
301,67.3
302,66.2
303,64.8
304,63.6
305,62.6
306,62.1
307,61.9
308,61.9
309,61.8
310,61.5
311,60.9
312,59.7
313,54.6
314,49.3
315,44.9
316,42.3
317,41.4
318,41.3
319,42.1
320,44.7
321,48.4
322,51.4
323,52.7
324,54.0
325,57.0
326,58.1
327,59.2
328,59.0
329,59.1
330,59.5
331,60.5
332,62.3
333,63.9
334,65.1
335,64.1
336,62.7
337,62.0
338,61.3
339,60.9
340,60.5
341,60.2
342,59.8
343,59.4
344,58.6
345,57.5
346,56.6
347,56.0
348,55.5
349,55.0
350,54.4
351,54.1
352,54.0
353,53.9
354,53.9
355,54.0
356,54.2
357,55.0
358,55.8
359,56.2
360,56.1
361,55.1
362,52.7
363,48.4
364,43.1
365,37.8
366,32.5
367,27.2
368,25.1
369,26.0
370,29.3
371,34.6
372,40.4
373,45.3
374,49.0
375,51.1
376,52.1
377,52.2
378,52.1
379,51.7
380,50.9
381,49.2
382,45.9
383,40.6
384,35.3
385,30.0
386,24.7
387,19.3
388,16.0
389,13.2
390,10.7
391,8.8
392,7.2
393,5.5
394,3.2
395,1.1
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
